sku,img,undefined,title,brand,web,cat1,cat2,price,saleprice,isonsale,stock,size,list
050T1000#N96#260,050T1000_N96,"117990,00",Nordica SPORTMACHINE 3 100 GW férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,156990,117990,0,"1,00",26,"[object Object],[object Object]"
050T1500#3A9#270_,050T1500_3A9,"82900,00",Nordica SPORTMACHINE 3 75 W női sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,131990,82900,0,"1,00",27,[object Object]
12110,12110,"3990,00",Chums Halfpipe szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,3990,3990,0,"3,00",,[object Object]
12115,12115,"4990,00",Chums Original Standard End szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,4990,4990,0,"12,00",,[object Object]
12119,12119,"4990,00",Chums Original Large End szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,4990,4990,0,"7,00",,[object Object]
12121,12121,"5490,00",Chums Slip Fit Rope szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,5490,5490,0,"5,00",,[object Object]
12128,12128,"3990,00",Chums Neoprene Classic szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,3990,3990,0,"8,00",,[object Object]
12129,12129,"3990,00",Chums Neoprene Prints szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,3990,3990,0,"5,00",,[object Object]
12305,12305,"5990,00",Chums Floating Halfpipe szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,5990,5990,0,"1,00",,[object Object]
12308,12308,"4990,00",Chums Switchback szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,4990,4990,0,"9,00",,[object Object]
12313,12313,"4990,00",Chums Slim szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,4990,4990,0,"9,00",,[object Object]
12318,12318,"4990,00",Chums Original LTD szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,4990,4990,0,"5,00",,[object Object]
12407,12407,"5490,00",Chums Mono Orbiter szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,5490,5490,0,"4,00",,[object Object]
12412,12412,"6490,00",Chums Tideline szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,6490,6490,0,"1,00",,[object Object]
12419,12419,"6490,00",Chums Tideline Adjustable szemüvegpánt,Chums,www.chums.com,Szemüvegpánt,Felszerelés,6490,6490,0,"1,00",,[object Object]
130252#BLK#60-62,130252_BLK,"32990,00",Blizzard Demon black matt unisex bukósisak,Blizzard,www.blizzard-ski.com,Bukósisak,Felszerelés,32990,32990,0,"1,00",60-62,[object Object]
140320,140320,"9990,00",Tecnica sícipőtáska,Tecnica,www.tecnica.it,Táska,Felszerelés,9990,9990,0,"8,00",,[object Object]
140321,140321,"14990,00",Tecnica Sícipőtáska Premium black-orange,Tecnica,www.tecnica.it,Táska,Felszerelés,14990,14990,0,"5,00",,[object Object]
140323#160-190,140323,"26990,00","Blizzard PREMIUM Ski bag for 2 pairs, blk-sil, 160-190 cm",Blizzard,www.blizzard-ski.com,Táska,Felszerelés,26990,26990,0,"2,00",,[object Object]
140330,140330,"12790,00",Tecnica Viva Premium sícipőtáska,Tecnica,www.tecnica.it,Táska,Felszerelés,12790,12790,0,"5,00",,[object Object]
140351#ANT#XL/XXL_SNOWS,140351_ANT,"12590,00",Blizzard Viva long sleeve női aláöltöző felső,Blizzard,www.blizzard-ski.com,Aláöltöző felső,Ruházat,12590,12590,0,"1,00",XL/XXL,[object Object]
150150#BLK#UNI,150150_BLK,"4290,00",Blizzard Function Cap unisex bukósisak alá való sapka,Blizzard,www.blizzard-ski.com,Maszk,Ruházat,4290,4290,0,"3,00",,[object Object]
150151#BLK#L/XL,150151_BLK,"4290,00",Blizzard Balaclava unisex símaszk,Blizzard,www.blizzard-ski.com,Maszk,Ruházat,4290,4290,0,"19,00",L/XL,"[object Object],[object Object]"
150152#BLK#UNI,150152_BLK,"4290,00",Blizzard Balaclava junior símaszk,Blizzard,www.blizzard-ski.com,Maszk,Ruházat,4290,4290,0,"10,00",,[object Object]
160261#BLK-ORA#10,160261_BLK-ORA,"13990,00",Blizzard Reflex black-orange férfi síkesztyű,Blizzard,www.blizzard-ski.com,Síkesztyű,Ruházat,13990,13990,0,"1,00",10,"[object Object],[object Object]"
160263#BLK-GREEN#10,160263_BLK-GREEN,"13990,00",Blizzard Reflex black-green férfi síkesztyű,Blizzard,www.blizzard-ski.com,Síkesztyű,Ruházat,13990,13990,0,"1,00",10,"[object Object],[object Object],[object Object],[object Object]"
160264#BLK-SIL#10,160264_BLK-SIL,"13990,00","Blizzard Reflex black-silver férfi síkesztyű ",Blizzard,www.blizzard-ski.com,Síkesztyű,Ruházat,13990,13990,0,"3,00",10,"[object Object],[object Object],[object Object],[object Object]"
160265#BLK-BLUE#10,160265_BLK-BLUE,"13990,00",Blizzard Reflex black-blue férfi síkesztyű,Blizzard,www.blizzard-ski.com,Síkesztyű,Ruházat,13990,13990,0,"1,00",10,"[object Object],[object Object]"
163363#WHT-MAG#56-59,163363_WHT-MAG,"31990,00",Blizzard VIVA DEMON white matt magenta flowers női bukósisak,Blizzard,www.blizzard-ski.com,Bukósisak,Felszerelés,31990,31990,0,"3,00",56-59,[object Object]
164004#Blk-Ant-Red#35-38,164004_Blk-Ant-Red,"7990,00",Blizzard Profi blk-ant-red unisex sízokni,Blizzard,www.blizzard-ski.com,Sízokni,Ruházat,7990,7990,0,"4,00",35-38,[object Object]
164006#Blk-Ant-yell#35-38,164006_Blk-Ant-yell,"7990,00",Blizzard Profi blk-ant-yell unisex sízokni,Blizzard,www.blizzard-ski.com,Sízokni,Ruházat,7990,7990,0,"2,00",35-38,[object Object]
164052#GRE-SIL,164052_GRE-SIL,"12790,00",Blizzard Viva Kaprun női sapka,Blizzard,www.blizzard-ski.com,Sapka,Ruházat,12790,12790,0,"3,00",,[object Object]
164108#BLK-SIL#110,164108_BLK-SIL,"10990,00",Sport ski poles black-silver,Blizzard,www.blizzard-ski.com,Síbot,Felszerelés,10990,10990,0,"1,00",110 cm,"[object Object],[object Object],[object Object],[object Object],[object Object]"
170006#BLK#56-59,170006_BLK,"49990,00","Blizzard DOUBLE VISOR black matt smoke lens, mirror unisex bukósisak",Blizzard,www.blizzard-ski.com,Bukósisak,Felszerelés,49990,49990,0,"3,00",56-59,"[object Object],[object Object]"
170038#ORN,170038_ORN,"17990,00",Blizzard SPARE VISOR narancs csere lencse,Blizzard,www.blizzard-ski.com,Bukósisak,Felszerelés,17990,17990,0,"1,00",,[object Object]
